,MOF,Solv_remove,Formula,Type,Node-file
18313,c9cc04446a2_4,FSR,Zn1,Type-1,c9cc04446a2_4_FSR_pacman_node0
18314,c9cc04446a2_5,ASR,Zn1,Type-1,c9cc04446a2_5_ASR_pacman_node0
18315,c9cc04446a2_5,FSR,Zn1,Type-1,c9cc04446a2_5_FSR_pacman_node0
18316,c9cc04446a2_6,ASR,Zn1,Type-1,c9cc04446a2_6_ASR_pacman_node0
18317,c9cc04446a2_6,FSR,Zn1,Type-1,c9cc04446a2_6_FSR_pacman_node0
11184,c9cc04999a2_3,ASR,Cl6Fe6O1,Type-1,c9cc04999a2_3_ASR_pacman_node0
14035,c9cc04999a2_3,ASR,Fe1,Type-1,c9cc04999a2_3_ASR_pacman_node1
16949,c9cc05455c2_1,ASR,U1,Type-1,c9cc05455c2_1_ASR_pacman_node0
16950,c9cc05455c2_1,FSR,U1,Type-1,c9cc05455c2_1_FSR_pacman_node0
16951,c9cc05455c2_2,ASR,U1,Type-1,c9cc05455c2_2_ASR_pacman_node0
16952,c9cc05455c2_2,FSR,U1,Type-1,c9cc05455c2_2_FSR_pacman_node0
4065,c9cc05498g2,ASR,C3O6Zn1,Type-1,c9cc05498g2_ASR_pacman_node0
4066,c9cc05498g2,FSR,C3O6Zn1,Type-1,c9cc05498g2_FSR_pacman_node0
13688,c9cc06416h2,ion,Eu2,Type-1,c9cc06416h2_ion_pacman_node0
9156,c9cc06739f2_1,ASR,C6O12Zn3,Type-1,c9cc06739f2_1_ASR_pacman_node0
9157,c9cc06739f2_1,FSR,C6O12Zn3,Type-1,c9cc06739f2_1_FSR_pacman_node0
9158,c9cc06739f2_2,ASR,C6O12Zn3,Type-1,c9cc06739f2_2_ASR_pacman_node0
9159,c9cc06739f2_2,FSR,C6O12Zn3,Type-1,c9cc06739f2_2_FSR_pacman_node0
3645,c9cc06849j2_1,ASR,C2O4Zn1,Type-1,c9cc06849j2_1_ASR_pacman_node0
3646,c9cc06849j2_1,FSR,C2O4Zn1,Type-1,c9cc06849j2_1_FSR_pacman_node0
3647,c9cc06849j2_2,ASR,C2O4Zn1,Type-1,c9cc06849j2_2_ASR_pacman_node0
3648,c9cc06849j2_2,FSR,C2O4Zn1,Type-1,c9cc06849j2_2_FSR_pacman_node0
243,c9cc08402a2,ASR,Ag12,Type-3,c9cc08402a2_ASR_pacman_node0
244,c9cc08402a2,FSR,Ag12,Type-3,c9cc08402a2_FSR_pacman_node0
12999,c9cc08443f2_3,ASR,Cu2I2,Type-1,c9cc08443f2_3_ASR_pacman_node0
16428,c9cc08443f2_3,ASR,Sb1,Type-1,c9cc08443f2_3_ASR_pacman_node1
13000,c9cc08443f2_3,FSR,Cu2I2,Type-1,c9cc08443f2_3_FSR_pacman_node0
16429,c9cc08443f2_3,FSR,Sb1,Type-1,c9cc08443f2_3_FSR_pacman_node1
3974,c9cc09008h2_1,ASR,C3Ni6O30W9,Type-1,c9cc09008h2_1_ASR_pacman_node0
