mof_name,bound_solvent_MetalOxo,free_solvent_MetalOxo,mofid,type
OGIYUZ_ASR_pacman,Yes,Yes,[Eu].[O]c1c2Cc3cc(cc(c3[O])Cc3cc(cc(Cc4c(c(Cc1cc(c2)S([O])([O])[O])cc(c4)S([O])([O])[O])[O])c3[O])S([O])([O])[O])S([O])([O])[O] MOFid-v1.pts.cat0;OGIYUZ_ASR_pacman,ASR
OZAYIZ_ASR_pacman,Yes,Yes,* MOFid-v1.NA.NAno_mof;OZAYIZ_ASR_pacman,ASR
OYAXEU_ASR_pacman,No,Yes,[Cu].[O-]C(=O)c1ccncc1.[O]12[Y]34[O]5[Y]62[O]2[Y]71[O]4[Y]14[O]3[Y]35[O]6[Y]2([O]71)[O]43 MOFid-v1.ERROR.cat0;OYAXEU_ASR_pacman,ASR
OCEGOV_ASR_pacman,No,Yes,[Ni].n1ccncc1 MOFid-v1.sql.cat0;OCEGOV_ASR_pacman,ASR
OHEGAJ_ASR_pacman,No,Yes,[O-]C(=O)C(=O)[O-].[O][As]([O])[O].[O][As]([O])[O].[O].[Zn] MOFid-v1.ERROR.cat0;OHEGAJ_ASR_pacman,ASR
OKUJUC_ASR_pacman,Yes,No,[Fe].[Fe][O]([Fe])[Fe].[O-]C(=O)c1cc(n2ncnc2)c(cc1N1[N]C=N[CH]1)C(=O)[O-].[O-]C(=O)c1cc(n2ncnc2)c(cc1n1ncnc1)C(=O)[O-].[O-]C=O MOFid-v1.UNKNOWN.cat0;OKUJUC_ASR_pacman,ASR
OSOMUH_ASR_pacman,Yes,Yes,* MOFid-v1.NA.NAno_mof;OSOMUH_ASR_pacman,ASR
OKANOF_ASR_pacman,Yes,No,[Co].[O-]C(=O)c1ccc(cc1)n1cnc2c1cccc2 MOFid-v1.qtz.cat0;OKANOF_ASR_pacman,ASR
OQOFUY_ASR_pacman,No,Yes,[Cu].n1ccc(cc1)C#Cc1ccncc1 MOFid-v1.sql.cat0;OQOFUY_ASR_pacman,ASR
OPUMIY_ASR_pacman,Yes,Yes,* MOFid-v1.NA.NAno_mof;OPUMIY_ASR_pacman,ASR
OSIVIX_ASR_pacman,Yes,No,[N]1=CN=NC=1.[N]1C=NN=C1.[O-]C(=O)C(=O)[O-].[Zn] MOFid-v1.ERROR.cat0;OSIVIX_ASR_pacman,ASR
OCEGIP_ASR_pacman,No,Yes,[Fe].n1ccncc1 MOFid-v1.sql.cat0;OCEGIP_ASR_pacman,ASR
OGIKAR_ASR_pacman,Yes,No,[Cu][Cu].[O-]C(=O)c1cccc(c1)C1=NC(=[N]=C([N]1)c1cccc(c1)C(=O)[O-])c1cccc(c1)C(=O)[O-] MOFid-v1.tbo.cat1;OGIKAR_ASR_pacman,ASR
OPUMOE_ASR_pacman,No,Yes,"COc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1c2ccccc2c(c2c1cccc2)C1=CC(=[C]C(=C1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[In] MOFid-v1.pts,tfi.cat1;OPUMOE_ASR_pacman",ASR
OSOKUF_ASR_pacman,Yes,Yes,* MOFid-v1.NA.NAno_mof;OSOKUF_ASR_pacman,ASR
OTECEX_ASR_pacman,Yes,No,[Al]1[OH][Al][OH][Al][OH][Al][OH][Al][OH][Al][OH][Al][OH][Al][OH]1.[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-] MOFid-v1.fon.cat0;OTECEX_ASR_pacman,ASR
OTEDOI_ASR_pacman,Yes,No,[Al]1[OH][Al][OH][Al][OH][Al][OH][Al][OH][Al][OH][Al][OH][Al][OH]1.[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-] MOFid-v1.fon.cat0;OTEDOI_ASR_pacman,ASR
OTEDUO_ASR_pacman,Yes,No,C[O].[Al][OH][Al][OH][Al][OH][Al].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-] MOFid-v1.fon.cat0;OTEDUO_ASR_pacman,ASR
OLICET_ASR_pacman,Yes,No,Cl[Fe].N1=C[C](N=N1)c1cc(cc(c1)C1=C[N]N=N1)C1=C[N]N=N1.N1=C[C](N=N1)c1cc(cc(c1)C1=C[N]N=N1)[C]1N=NN=C1.N1=NC(=C[N]1)c1cc(cc(c1)C1=C[N]N=N1)C1=C[N]N=N1.N1=NC=C([N]1)c1cc(cc(c1)[C]1N=NN=C1)[C]1N=NN=C1.N1=N[C](C=N1)c1cc(cc(c1)C1=NN=N[CH]1)C1=C[N]N=N1.N1=N[C](C=N1)c1cc(cc(c1)[C]1C=NN=N1)[C]1C=NN=N1.[Fe] MOFid-v1.the.cat0;OLICET_ASR_pacman,ASR
OWEYOF_ASR_pacman,Yes,No,O=c1c2cc3c(cc2c(=O)n1Cc1ccncc1)c(=O)n(c3=O)Cc1ccncc1.[Co] MOFid-v1.dia.cat0;OWEYOF_ASR_pacman,ASR
