cifname,mofid
REXFEH_FSR_pacman,I[Zn]I.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.ths.cat1;REXFEH_FSR_pacman
RAYFAA_FSR_pacman,[Cu].[O]S(=O)(=O)[O].c1ccc(nc1)C1=NN=C([N]1)C1=NN=C[N]1 MOFid-v1.ERROR.cat0;RAYFAA_FSR_pacman
RIQKEL_FSR_pacman,[Cu][OH]1[Cu][OH]([Cu]1)[Cu].[O-]C(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])C[N]12CCN(CC1)CC2 MOFid-v1.UNKNOWN.cat0;RIQKEL_FSR_pacman
ROCZUG_FSR_pacman,[Cd].[N][N][N].n1ccc(cc1)C1=NN=N[N]1 MOFid-v1.ERROR.cat0;ROCZUG_FSR_pacman
RAKCUC_FSR_pacman,I[Zn]I.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.srs.cat1;RAKCUC_FSR_pacman
RISBIG_FSR_pacman,[O-]C(=O)CCC(=O)[O-].[Zn].n1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1 MOFid-v1.dia.cat1;RISBIG_FSR_pacman
RIYBOS_FSR_pacman,I[Zn]I.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.srs.cat1;RIYBOS_FSR_pacman
REYPIW_FSR_pacman,[O-]C(=O)C1=C([N]N=N1)C(=O)[O-].[O-]C(=O)C1=NN=N[C]1C(=O)[O-].[Zn].n1ccc(cc1)c1ccncc1 MOFid-v1.UNKNOWN.cat0;REYPIW_FSR_pacman
ROCZIU_FSR_pacman,[Cd].[N][N][N].[O-]C(=O)c1ccncc1 MOFid-v1.ERROR.cat0;ROCZIU_FSR_pacman
RUYQOT_FSR_pacman,[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[OH2][La] MOFid-v1.UNKNOWN.cat0;RUYQOT_FSR_pacman
REGMOH_FSR_pacman,"Cc1c(Cn2cncc2)c(C)c(c(c1Cn1cncc1)C)Cn1cncc1.[Ni].[O-]C(=O)c1cc(cc(n1)C(=O)[O-])c1cc(nc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.UNKNOWN,ERROR.cat0;REGMOH_FSR_pacman"
RORVIG_FSR_pacman,* MOFid-v1.NA.NA;RORVIG_FSR_pacman
